,Word,Frequency
0,of,157
1,in,146
2,health,115
3,interest,94
4,mental,89
5,study,81
6,and,73
7,the,67
8,hours,65
9,domain,62
10,condition,61
11,degree,59
12,time,56
13,to,53
14,a,46
15,activities,45
16,student,43
17,social,41
18,1,40
19,2,39
20,3,39
21,is,35
22,number,33
23,performance,32
24,are,28
25,that,25
26,i,25
27,can,22
28,they,21
29,studies,21
30,travelling,20
31,students,20
32,good,20
33,for,19
34,s,18
35,their,18
36,not,18
37,also,18
38,with,17
39,teacher,16
40,you,15
41,or,15
42,his,15
43,family,15
44,environment,15
45,important,14
46,he,14
47,teachers,13
48,marks,13
49,effect,12
50,physical,12
51,issues,12
52,more,12
53,if,11
54,factor,11
55,as,11
56,most,10
57,have,10
58,so,10
59,media,10
60,do,10
61,subject,10
62,think,9
63,it,9
64,on,9
65,like,9
66,field,9
67,no,9
68,learning,9
69,one,9
70,4,9
71,studying,8
72,motivation,8
73,out,8
74,friends,8
75,your,8
76,lack,8
77,my,8
78,financial,8
79,5,8
80,than,8
81,from,8
82,factors,7
83,which,7
84,be,7
85,course,7
86,behavior,7
87,teaching,7
88,daily,7
89,way,7
90,sleep,7
91,some,6
92,but,6
93,university,6
94,much,6
95,towards,6
96,will,6
97,well,6
98,due,6
99,got,6
100,work,6
101,6,6
102,less,6
103,at,5
104,effects,5
105,lecture,5
106,while,5
107,other,5
108,subjects,5
109,make,5
110,only,5
111,problems,5
112,self,5
113,very,5
114,because,5
115,get,5
116,what,5
117,personal,5
118,exam,5
119,then,5
120,should,5
121,practical,5
122,all,4
123,class,4
124,traveling,4
125,mind,4
126,t,4
127,there,4
128,lot,4
129,who,4
130,conditions,4
131,seriousness,4
132,exams,4
133,too,4
134,going,4
135,by,4
136,background,4
137,usage,4
138,people,4
139,this,4
140,any,4
141,proper,4
142,company,4
143,reasons,4
144,sports,4
145,example,3
146,etc,3
147,depression,3
148,don,3
149,either,3
150,communication,3
151,level,3
152,hour,3
153,according,3
154,given,3
155,bad,3
156,timetable,3
157,mostly,3
158,instagram,3
159,life,3
160,major,3
161,concepts,3
162,mobile,3
163,e,3
164,we,3
165,its,3
166,would,3
167,tired,3
168,repo,3
169,up,3
170,even,3
171,curricular,3
172,must,3
173,choice,3
174,market,3
175,alot,3
176,interested,3
177,such,3
178,affects,3
179,homework,3
180,focus,3
181,first,3
182,interaction,3
183,stress,3
184,during,3
185,reduce,3
186,use,3
187,day,3
188,previous,3
189,support,3
190,part,3
191,take,3
192,having,3
193,understanding,3
194,particular,3
195,lead,3
196,affect,2
197,me,2
198,behaviour,2
199,leads,2
200,current,2
201,being,2
202,secondly,2
203,questions,2
204,mentally,2
205,waste,2
206,others,2
207,skills,2
208,teach,2
209,things,2
210,method,2
211,freelancing,2
212,attitude,2
213,opinion,2
214,house,2
215,instructor,2
216,specific,2
217,circle,2
218,them,2
219,methods,2
220,instability,2
221,table,2
222,after,2
223,our,2
224,8,2
225,gathering,2
226,content,2
227,increase,2
228,done,2
229,always,2
230,matters,2
231,paper,2
232,giving,2
233,somehow,2
234,extra,2
235,co,2
236,importance,2
237,starting,2
238,low,2
239,try,2
240,lectures,2
241,workload,2
242,responsibilities,2
243,limited,2
244,has,2
245,healthy,2
246,body,2
247,clear,2
248,through,2
249,might,2
250,career,2
251,main,2
252,cooperative,2
253,rather,2
254,facebook,2
255,spent,2
256,spend,2
257,when,2
258,home,2
259,travel,2
260,year,2
261,bit,2
262,distance,2
263,academic,2
264,pre,2
265,sleeping,2
266,perform,2
267,different,2
268,improve,2
269,helps,2
270,management,2
271,someone,2
272,future,2
273,yourself,2
274,depend,2
275,better,2
276,own,2
277,attention,2
278,institute,2
279,ve,2
280,engineering,2
281,m,2
282,intermediate,2
283,youtube,2
284,matric,2
285,concentration,2
286,useless,2
287,fields,2
288,an,2
289,non,2
290,right,2
291,why,2
292,grade,2
293,theoretical,2
294,trends,2
295,restrict,2
296,respective,2
297,anxiety,2
298,0,2
299,before,2
300,domains,2
301,courses,2
302,excess,2
303,actually,2
304,kindly,1
305,mention,1
306,least,1
307,three,1
308,above,1
309,mentioned,1
310,accodring,1
311,majorly,1
312,depends,1
313,unusual,1
314,thinking,1
315,badly,1
316,willingness,1
317,continue,1
318,comfort,1
319,place,1
320,live,1
321,molding,1
322,affecting,1
323,since,1
324,come,1
325,stressed,1
326,energy,1
327,attend,1
328,attentively,1
329,mock,1
330,habit,1
331,mocking,1
332,open,1
333,answer,1
334,enthusiasm,1
335,joyfully,1
336,continuing,1
337,basics,1
338,though,1
339,may,1
340,overall,1
341,choosing,1
342,wrong,1
343,including,1
344,irrelevant,1
345,humanities,1
346,total,1
347,these,1
348,sense,1
349,instance,1
350,series,1
351,english,1
352,ecc,1
353,report,1
354,writing,1
